 run  |                     source                     | capacitor 
------+------------------------------------------------+-----------
  516 | background                                     | Yes
  518 | background                                     | Yes
  506 | background                                     | Yes
  519 | strong Co57 + 2 Pb sheets                      | Yes
  505 | background                                     | No
  507 | background                                     | Yes
  508 | background                                     | Yes
  509 | background                                     | Yes
  510 | background                                     | Yes
  511 | background                                     | Yes
  512 | background                                     | Yes
  513 | background                                     | Yes
  514 | background                                     | Yes
 6066 | background                                     | Yes
 6168 | yal                                            | Yes
 6224 | background                                     | Yes
  517 | background                                     | No
 6189 | yal                                            | Yes
  524 | background                                     | Yes
  525 | background                                     | Yes
  526 | background                                     | Yes
  527 | background                                     | Yes
  528 | background                                     | Yes
  529 | background                                     | Yes
  530 | background                                     | Yes
  531 | background                                     | Yes
  532 | background                                     | Yes
  533 | background                                     | Yes
  534 | background                                     | Yes
  535 | background                                     | Yes
 1625 | strong Co57 + 2 Pb sheets                      | Yes
 6206 | yal                                            | Yes
 1780 | Kr                                             | Yes
 6256 | background                                     | Yes
 6282 | kr83m                                          | Yes
  537 | background                                     | Yes
  538 | background                                     | Yes
 1462 | YAl + strong Co57 + 2 Pb sheets                | Yes
  539 | background                                     | Yes
  548 | YBe                                            | No
  549 | YBe                                            | Yes
  550 | YBe                                            | Yes
  551 | YBe                                            | Yes
  552 | YBe                                            | Yes
  553 | YBe                                            | Yes
  555 | YBe                                            | Yes
  556 | YBe                                            | Yes
  557 | YBe                                            | Yes
  558 | YBe                                            | Yes
  559 | YBe                                            | Yes
  561 | YBe                                            | Yes
  563 | YBe                                            | Yes
  564 | YBe                                            | Yes
  565 | YBe                                            | Yes
  566 | YBe                                            | Yes
  568 | YBe                                            | Yes
  569 | YBe                                            | Yes
  570 | YBe                                            | Yes
  571 | YBe                                            | Yes
  572 | YBe                                            | Yes
  574 | YBe                                            | Yes
  576 | YBe                                            | Yes
  577 | YBe                                            | Yes
  578 | YBe                                            | Yes
  579 | YBe                                            | Yes
  580 | YBe                                            | Yes
  581 | YBe                                            | Yes
  583 | YBe                                            | Yes
  584 | YBe                                            | Yes
  585 | YBe                                            | Yes
  586 | YBe                                            | Yes
  587 | YBe                                            | Yes
 1283 | YBe                                            | No
 1286 | YBe + strong Co57 + 2 Pb sheets                | No
 1463 | YBe + strong Co57 + 2 Pb sheets                | Yes
  592 | YBe                                            | Yes
  593 | YBe                                            | Yes
  595 | YBe                                            | Yes
  596 | YBe                                            | Yes
  597 | YBe                                            | Yes
  598 | YBe                                            | Yes
  599 | YBe                                            | Yes
  600 | YBe                                            | Yes
  602 | YBe                                            | Yes
  603 | YBe                                            | Yes
  604 | YBe                                            | Yes
  605 | YBe                                            | Yes
  606 | YBe                                            | Yes
  607 | YBe                                            | Yes
  611 | YBe                                            | No
  613 | YAl                                            | Yes
  614 | YAl                                            | Yes
  615 | YAl                                            | Yes
  616 | YAl                                            | Yes
  617 | YAl                                            | Yes
  618 | YAl                                            | Yes
  621 | YAl                                            | Yes
  622 | YAl                                            | Yes
  623 | YAl                                            | Yes
  624 | YAl                                            | Yes
  625 | YAl                                            | Yes
  627 | YAl                                            | Yes
  628 | YAl                                            | Yes
  629 | YAl                                            | Yes
  630 | YAl                                            | Yes
  631 | YAl                                            | Yes
  633 | YAl                                            | Yes
  634 | YAl                                            | Yes
  635 | YAl                                            | Yes
  636 | YAl                                            | Yes
  637 | YAl                                            | Yes
 1794 | Kr + strong Co57 + 2 Pb sheets                 | No
  836 | strong Co57 + 2 Pb sheets                      | No
 1287 | YBe                                            | No
  641 | YAl                                            | Yes
  642 | YAl                                            | Yes
  644 | YAl                                            | Yes
  645 | YAl                                            | Yes
  646 | YAl                                            | Yes
  647 | YAl                                            | Yes
  648 | YAl                                            | Yes
  649 | YAl                                            | Yes
  651 | YAl                                            | Yes
  652 | YAl                                            | Yes
  653 | YAl                                            | Yes
  654 | YAl                                            | Yes
  655 | YAl                                            | Yes
  656 | YAl                                            | Yes
  658 | YAl                                            | Yes
  659 | YAl                                            | Yes
  660 | YAl                                            | Yes
  661 | YAl                                            | Yes
  662 | YAl                                            | Yes
  664 | YAl                                            | Yes
  665 | YAl                                            | Yes
  666 | YAl                                            | Yes
  667 | YAl                                            | Yes
  669 | YAl                                            | Yes
  671 | YAl                                            | Yes
  672 | YAl                                            | Yes
  673 | YAl                                            | Yes
  674 | YAl                                            | Yes
  675 | YAl                                            | Yes
  676 | YAl                                            | Yes
  678 | YAl                                            | Yes
  679 | YAl                                            | Yes
  680 | YAl                                            | Yes
  681 | YAl                                            | Yes
  682 | YAl                                            | Yes
  683 | YAl                                            | Yes
  685 | YAl + strong Co57 + 2 Pb sheets                | No
  686 | YAl + strong Co57 + 2 Pb sheets                | No
  832 | YAl + strong Co57 + 2 Pb sheets                | No
  590 | YBe                                            | Yes
  689 | YAl                                            | Yes
  690 | YBe                                            | Yes
  691 | YBe                                            | Yes
  693 | YBe                                            | Yes
  694 | YBe                                            | Yes
  695 | YBe                                            | Yes
  696 | YBe                                            | Yes
  697 | YBe                                            | Yes
  700 | YBe                                            | Yes
  701 | YBe                                            | Yes
  702 | YBe                                            | Yes
  703 | YBe                                            | Yes
  704 | YBe                                            | Yes
  705 | YBe                                            | Yes
  707 | YBe                                            | Yes
  708 | YBe                                            | Yes
  709 | YBe                                            | Yes
  710 | YBe                                            | Yes
  711 | YBe                                            | Yes
  713 | YBe                                            | Yes
  714 | YBe                                            | Yes
  715 | YBe                                            | Yes
  716 | YBe                                            | Yes
  717 | YBe                                            | Yes
  718 | YBe                                            | Yes
  720 | YBe                                            | Yes
  721 | YBe                                            | Yes
  722 | YBe                                            | Yes
  723 | YBe                                            | Yes
  724 | YBe                                            | Yes
  725 | YBe                                            | Yes
  728 | YBe                                            | Yes
  729 | YBe                                            | Yes
  730 | YBe                                            | Yes
  731 | YBe                                            | Yes
  732 | YBe                                            | Yes
  734 | YBe                                            | Yes
  735 | YBe                                            | Yes
 1647 | strong Co57 + 2 Pb sheets                      | Yes
 1464 | YBe + strong Co57 + 2 Pb sheets                | No
  737 | YBe                                            | Yes
  738 | YBe                                            | Yes
  739 | YBe                                            | Yes
  741 | YBe                                            | Yes
  742 | YBe                                            | Yes
  743 | YBe                                            | Yes
  744 | YBe                                            | Yes
  745 | YBe                                            | Yes
  746 | YBe                                            | Yes
  748 | YBe                                            | Yes
  768 | YAl                                            | Yes
  770 | YAl                                            | Yes
  749 | YBe                                            | Yes
  751 | YBe                                            | Yes
  752 | YBe                                            | Yes
  754 | YBe                                            | Yes
  755 | YBe                                            | Yes
  756 | YBe                                            | Yes
  757 | YBe                                            | Yes
  758 | YBe                                            | Yes
  759 | YBe                                            | Yes
 6067 | background                                     | Yes
 6170 | yal                                            | Yes
  766 | YAl                                            | No
  767 | YAl                                            | Yes
  771 | YAl                                            | Yes
  772 | YAl                                            | Yes
  773 | YAl                                            | Yes
  774 | YAl                                            | Yes
  775 | YAl                                            | Yes
  777 | YAl                                            | Yes
  778 | YAl                                            | Yes
  779 | YAl                                            | Yes
  781 | YAl                                            | Yes
  782 | YAl                                            | Yes
  784 | YAl                                            | Yes
 1672 | strong Co57 + 2 Pb sheets                      | No
  639 | YAl                                            | Yes
  786 | YAl                                            | Yes
  787 | YAl                                            | Yes
  788 | YAl                                            | Yes
  790 | YAl                                            | Yes
  791 | YAl                                            | Yes
  792 | YAl                                            | Yes
  794 | YAl                                            | Yes
  831 | YAl + strong Co57 + 2 Pb sheets                | Yes
  797 | YAl                                            | Yes
  798 | YAl                                            | Yes
  799 | YAl                                            | Yes
  800 | YAl                                            | Yes
  801 | YAl                                            | Yes
  802 | YAl                                            | Yes
  804 | YAl                                            | Yes
  805 | YAl                                            | Yes
  806 | YAl                                            | Yes
  807 | YAl                                            | Yes
  809 | YAl                                            | Yes
  811 | YAl                                            | Yes
  812 | YAl                                            | Yes
  813 | YAl                                            | Yes
  814 | YAl                                            | Yes
  815 | YAl                                            | Yes
  817 | YAl                                            | Yes
  818 | YAl                                            | Yes
  819 | YAl                                            | Yes
  820 | YAl                                            | Yes
  821 | YAl                                            | Yes
  822 | YAl                                            | Yes
  824 | YAl                                            | Yes
  825 | YAl                                            | Yes
  826 | YAl                                            | Yes
  828 | YAl                                            | Yes
 1288 | YBe                                            | Yes
 1289 | YBe                                            | Yes
  834 | strong Co57 + 2 Pb sheets                      | no
  795 | YAl                                            | Yes
 1291 | YBe                                            | Yes
  688 | YAl                                            | Yes
  840 | background                                     | Yes
  841 | background                                     | Yes
  843 | background                                     | Yes
  844 | background                                     | Yes
  845 | background                                     | Yes
  846 | background                                     | Yes
  847 | background                                     | Yes
 6068 | background                                     | Yes
 6149 | kr83m                                          | Yes
  849 | background                                     | Yes
  851 | strong Co57 + 2 Pb sheets                      | No
  853 | strong Co57 + 2 Pb sheets                      | No
  854 | background                                     | Yes
 6242 | background                                     | Yes
  856 | background                                     | Yes
  855 | background                                     | Yes
  859 | background                                     | Yes
  860 | background                                     | Yes
  861 | background                                     | Yes
  862 | background                                     | Yes
  864 | background                                     | Yes
  865 | background                                     | Yes
  866 | background                                     | Yes
  867 | background                                     | Yes
 6313 | yal + weak co57                                | Yes
 6011 | background                                     | Yes
 6171 | yal                                            | Yes
 6190 | yal                                            | Yes
 6207 | yal                                            | Yes
 6257 | background                                     | Yes
 6271 | background                                     | Yes
 6283 | kr83m                                          | Yes
 6331 | yal                                            | Yes
 1699 | Kr                                             | Yes
 6340 | yal                                            | Yes
 6349 | yal                                            | Yes
  736 | YBe                                            | Yes
 6150 | kr83m                                          | Yes
 6172 | yal                                            | Yes
 6191 | yal                                            | Yes
 6208 | yal                                            | Yes
 6226 | background                                     | Yes
  898 | YBe                                            | Yes
  900 | YBe + strong Co57 + 2 Pb sheets                | Yes
  901 | YBe + strong Co57 + 2 Pb sheets                | Yes
  903 | YBe + strong Co57 + 2 Pb sheets                | No
  904 | YBe + strong Co57 + 2 Pb sheets                | No
  905 | YBe                                            | No
  907 | YBe                                            | No
  908 | YBe                                            | No
  909 | YBe                                            | No
  910 | YBe                                            | No
  911 | YBe                                            | No
  912 | YBe                                            | No
  914 | YBe                                            | No
  915 | YBe                                            | No
  916 | YBe                                            | No
  917 | YBe                                            | No
  918 | YBe                                            | No
  920 | YBe                                            | No
  922 | YBe                                            | Yes
  923 | YAl                                            | Yes
  924 | YAl                                            | Yes
  925 | YAl                                            | Yes
  926 | YAl                                            | Yes
  929 | YAl                                            | Yes
  930 | YAl                                            | Yes
  931 | YAl                                            | Yes
  932 | YAl                                            | Yes
  933 | YAl                                            | Yes
  935 | YAl                                            | Yes
  936 | YAl                                            | Yes
  937 | YAl                                            | Yes
 1788 | strong Co57 + 2 Pb sheets (DIFFERENT LOCATION) | No
  785 | YAl                                            | Yes
  940 | YAl                                            | Yes
  941 | YAl                                            | Yes
  942 | YAl                                            | Yes
  944 | YAl                                            | Yes
  945 | YAl                                            | Yes
  946 | YAl                                            | Yes
  947 | YAl                                            | Yes
  948 | YAl                                            | Yes
  951 | YAl                                            | Yes
  953 | YAl                                            | Yes
  954 | YAl                                            | Yes
  955 | YAl                                            | Yes
  956 | YAl                                            | Yes
  957 | YAl                                            | Yes
  959 | YAl                                            | Yes
  960 | YAl                                            | Yes
  961 | YAl                                            | Yes
  962 | YAl                                            | Yes
  963 | YAl                                            | Yes
  965 | YAl                                            | Yes
  966 | YAl                                            | Yes
  967 | YAl                                            | Yes
  968 | YAl                                            | Yes
  969 | YAl                                            | Yes
  970 | YAl                                            | Yes
  972 | YAl                                            | Yes
  973 | YAl                                            | Yes
  974 | YAl                                            | Yes
  975 | YAl                                            | Yes
  976 | YAl                                            | Yes
  977 | YAl                                            | Yes
  980 | YAl                                            | Yes
  981 | YAl                                            | Yes
  982 | YAl                                            | Yes
  983 | YAl                                            | Yes
  984 | YAl                                            | Yes
  986 | YAl                                            | Yes
  988 | YAl                                            | Yes
  990 | YAl                                            | Yes
  991 | YAl                                            | Yes
  992 | YAl                                            | Yes
  994 | YAl                                            | Yes
  995 | YAl                                            | Yes
  996 | YAl                                            | Yes
  997 | YAl                                            | Yes
  998 | YAl                                            | Yes
  999 | YAl                                            | Yes
 1001 | YAl                                            | Yes
 1036 | YBe                                            | Yes
 1002 | YAl                                            | Yes
 1003 | YAl                                            | Yes
 1004 | YAl                                            | Yes
 1005 | YAl                                            | Yes
 1006 | YAl                                            | Yes
 1008 | YAl                                            | Yes
 1009 | YAl                                            | Yes
 1010 | YAl                                            | Yes
 1011 | YAl                                            | Yes
 1014 | YAl                                            | Yes
 1015 | YAl                                            | Yes
 1016 | YAl                                            | Yes
 1017 | YAl                                            | Yes
 1018 | YAl                                            | Yes
 1019 | YAl                                            | Yes
 1021 | YAl                                            | Yes
 1022 | YAl                                            | Yes
 1023 | YAl                                            | Yes
 1024 | YAl                                            | Yes
 1025 | YAl                                            | Yes
 1026 | YAl                                            | Yes
 1028 | YAl                                            | Yes
 1030 | YAl                                            | Yes
 1034 | YAl + strong Co57 + 2 Pb sheets                | No
 1035 | YAl + strong Co57 + 2 Pb sheets                | Yes
 1037 | YBe                                            | Yes
 1038 | YBe                                            | Yes
 1296 | YBe                                            | Yes
 1298 | YBe                                            | Yes
 1041 | YBe                                            | Yes
 1042 | YBe                                            | Yes
 1043 | YBe                                            | Yes
 1045 | YBe                                            | Yes
 1046 | YBe                                            | Yes
 1047 | YBe                                            | Yes
 1048 | YBe                                            | Yes
 1049 | YBe                                            | Yes
 1052 | YBe                                            | Yes
 1053 | YBe                                            | Yes
 1054 | YBe                                            | Yes
 1055 | YBe                                            | Yes
 1056 | YBe                                            | Yes
 1057 | YBe                                            | Yes
 1059 | YBe                                            | Yes
 1060 | YBe                                            | Yes
