run	int 0.10	int 0.50	int 0.95	int 0.98	Asymptote
6008	15.3989	25.1106	38.2647	42.7456	0.997867	0.000115477
6019	15.5762	25.0174	37.7821	42.0989	0.998126	0.000116202
6020	15.639	25.1263	37.9602	42.3093	0.998053	0.000123192
6220	15.2069	24.3833	37.1054	42.141	0.993156	0.000530775
6221	14.2917	15	24.2424	24.2424	0.95	0
6222	15.7281	25.2294	38.067	42.4069	0.998136	0.000120964
6223	14.2234	14.7735	16.1025	24.2424	0.953832	0.000817347
6224	15.8326	25.3111	38.0965	42.3913	0.998366	0.000120014
6248	15.4914	25.0747	37.9801	42.2793	0.998671	0.000119277
6260	15.5555	25.2684	38.3815	42.7635	0.998562	0.000117887
6261	15.5947	25.5443	41.0634	196.124	0.97839	0.000212521
6265	15.6861	25.631	41.1391	191.754	0.978492	0.000201286
6266	15.5838	25.2428	38.2857	42.6815	0.998247	0.000126647
6270	15.6046	25.432	38.7226	43.2221	0.998086	0.000122101
6271	15.717	25.457	38.5852	42.9608	0.998655	0.000123644
6280	15.619	25.2778	38.2819	42.625	0.998574	0.000133143
6291	15.5385	25.2838	38.4229	42.8251	0.99846	0.000135161
6310	15.5719	25.1806	38.129	42.4382	0.998711	0.00012167
6311	15.6405	25.3659	38.4726	42.8548	0.998536	0.000131115
6313	15.8515	25.3843	38.4203	43.146	0.995764	0.000150687
6315	15.6018	25.2443	38.4262	43.16	0.996071	0.000135744
6316	15.6143	25.2921	38.5374	43.287	0.996123	0.000128243
6373	15.5867	25.2105	38.3554	43.0286	0.996404	0.000129306
6435	15.6683	25.2925	38.4598	43.1778	0.996148	0.000121537
6436	15.4864	25.3589	38.8879	43.7727	0.9959	0.000134098
6438	15.5616	25.3168	38.6755	43.5028	0.995871	0.000133763
6439	15.537	25.2259	38.4699	43.208	0.996197	0.000132906
6485	15.628	25.3885	38.7296	43.5037	0.996188	0.00013329
6486	16.5155	26.3822	39.8682	44.6705	0.996351	0.000127207
6487	16.7797	26.3357	39.3885	44.0584	0.996193	0.000138658
6488	16.671	26.2411	39.3268	44.0378	0.99599	0.000144133
6489	16.5827	26.2692	39.5221	44.285	0.996048	0.000135618
